filing,Companies,CIK
477,Clorox,
478,Realogy Holdings,
479,HD Supply Holdings,
480,Graphic Packaging Holding,
481,Old Republic International,
482,Intuit,
483,NetApp,
484,Tapestry,
485,ON Semiconductor,
486,Ingredion,
487,Zoetis,
488,Fiserv,
489,TreeHouse Foods,
490,Robert Half International,
491,First American Financial,
492,Harley-Davidson,
493,Windstream Holdings,
494,Yum Brands,
495,Williams-Sonoma,
496,Simon Property Group,
497,Navient,
498,Western Union,
499,Peabody Energy,
500,Levi Strauss,
